deidentified_text,overview
0,"**은행]
[Web발신]
**은행] 단 3일! 최대 1천만원(추첨)! 꽝 없는 럭키박스 이벤트

아직 안 열어본 럭키박스가 있어요!
100%당첨 럭키박스가 사라지기전에
지금 바로 열어보세요~~
1천만원 추첨 행운의 기회까지 get!

-본 이벤트는 이 메시지를 ***고객님만 참여 가능합니다-

▶ [Company]에서 럭키박스 열기
[URL]

■ 참여방법 
럭키박스 열고 상품 확인 후 응모하면 100% 드림! (★응모필수★)
전체 응모자 중 1명 추첨하여 1천만원 또 드림!

■ 이벤트기간
21.9.28(화) ~ 9.30(목)

■ 당첨자 발표 및 경품지급
2021.10.8(금)
※발표일로부터 10영업일 이내 경품지급

※본 이벤트는 안내문자를 ***고객님만 당첨대상에 해당됩니다.
※모바일쿠폰 경품은 고객정보상의 휴대전화번호로 발송되오니 등록된 고객정보를 확인해주시기 바랍니다.
**은행 입출금이 자유로운 예금 계좌로 입금됩니다.  
※당첨차 발표일로부터 1개월까지 연락처 오류 등의 사유로 경품 반송 시 당첨이 무효처리됩니다. 
※당첨자 발표일 기준 [Company]을 ***고객님은 당첨에서 제외됩니다.
**은행의 사정으로 변경 또는 중단될 수 있습니다. (단, 기 조건 충족고객 및 당첨고객 제외)
※자세한 내용은 고객센터(☎1588-9999)로 문의하시기 바랍니다.

준법감시인 심의필 제2021-2591-4호(2021.9.27)(유효기간 2021.10.22까지)
무료 수신 거부 XXX-XXXX-XXXX

☎15889999/무료수신거부0808535882","[마케팅 메시지 개요]
- 목적: **은행에서 진행하는 럭키박스 이벤트를 통해 고객들의 참여를 유도하고, 1천만원 상당의 현금을 추첨하여 당첨자에게 지급하는 것을 목표로 한다.
- 기간: 2021년 9월 28일(화)부터 9월 30일(목)까지
- 이벤트 내용: 고객들은 **은행의 럭키박스를 열어 상품을 확인하고 응모할 수 있다. 응모한 고객들 중 1명을 추첨하여 1천만원을 지급한다.
- 상품 설명: 이벤트 참여자들은 럭키박스를 열어 상품을 확인하고 응모할 수 있다. 추첨을 통해 1명에게 1천만원이 지급된다.
- 서비스 설명: **은행은 입출금이 자유로운 예금 계좌로 입금되며, 모바일 쿠폰 경품은 고객정보상의 휴대전화번호로 발송된다. 당첨자 발표일로부터 10영업일 이내에 경품이 지급된다. 이벤트는 **은행의 사정으로 변경 또는 중단될 수 있으며, 자세한 내용은 고객센터로 문의하도록 안내되었다."
1,"**은행]감사선물도착!
[Web발신]
**은행]
[Company]의 '청년내일계좌'에 관심을 가져 주신
***님께 감사의 선물로 ‘신라면 큰사발’을
준비하였습니다.

오늘 단 하루, [Company]에 로그인 하시면
8/16(수) 쿠폰을 적립해 드립니다.

**은행으로부터 수[Company] 손님
◈ 참여 방법 : 오늘 [Company] 로그인만 하면 당첨!
◈ 참여 기간 : 23.07.31(월), 단 하루!
◈ 증정 경품 : [CU] 농심)신라면 큰사발 교환권 1매
◈ 쿠폰 적립일 : 2023.08.16(수)
※ 앱 푸시로 쿠폰 적립 알림 드려요 
※ 쿠폰 확인 : [Company]>My하나>쿠폰함

◈ 바로 로그인하러 가기: [URL]

**은행 대표 스마트폰뱅킹 브랜드입니다.
**은행의 사정에 따라 변경 또는 중단될 수 있으며, 각 이벤트별 혜택은 동일 금액대의 다른 상품으로 변경될 수 있습니다. (단 기조건 ***님 제외)
※본 이벤트 경품은 교환,환불,환가, 연장 및 재발급이 불가합니다.
※ 쿠폰 사용 관련 유의사항은 발급된 모바일 쿠폰 하단에 명시되어 있습니다.
**은행 고객센터(1599-1111)
※ 본 홍보물은 법령 및 내부통제기준에 따른 절차를 거쳐 제공됩니다.
※ 본 홍보물은 2023년 07월 31일까지 유효합니다.
준법감시인 심의필 제2023-광고-05262호(2023.07.28)
무료수신거부 XXX-XXX-XXXX","[개요]
- 목적: **은행에서는 [Company]의 '청년내일계좌'에 관심을 가져 주신 ***님께 감사의 선물로 ‘신라면 큰사발’을 제공하고, 로그인 시 쿠폰을 적립하여 이용자들의 참여를 유도하고자 한다.
- 기간: 23.07.31(월) 단 하루
- 이벤트 내용: 오늘 [Company]에 로그인하면 8/16(수)에 쿠폰을 적립해주고, [CU] 농심)신라면 큰사발 교환권 1매를 증정한다.
- 상품 설명: 증정되는 상품은 [CU] 농심)신라면 큰사발 교환권 1매이다.
- 서비스 설명: [Company]에 로그인하여 쿠폰을 적립하고, 쿠폰은 [Company] 앱의 My하나>쿠폰함에서 확인할 수 있다. 쿠폰은 2023.08.16(수)에 사용 가능하며, 쿠폰 사용 관련 유의사항은 쿠폰 하단에 명시되어 있다."
2,"**은행]
[Web발신]
(광고)(광고)호텔 숙박권부터 골드바까지~!! 
「[Company] 멤버십 Grand Open 이벤트」 
7월에 찾아온 행운의 선물,국민 럭키룰렛 

▶이벤트 응모하기 
[URL] 
▶[Company] 서비스 등록하러 가기 
[URL] 

■기간: 2023.7.10(월)~7.30(일) 
■참여방법 
★EVENT 1★ 
①[Company] 서비스 등록하기 
②응모하기 클릭 
③매주 화요일에 룰렛 돌리기 

★EVENT 2★ 
①[Company] 서비스에서 등급 확인하기 
②이벤트 페이지 “내 등급 입력하기”에서 본인등급 선택! 

■경품 
★EVENT 1★ 
1등 
1회차:워커힐 그랜드 클럽스위트 숙박권(1명) 
2회차:골드바 10g (1명) 
3회차:신라호텔 더파크뷰 1인식사권 5매(1명) 
2등:BBQ 황금올리브치킨+ 콜라 1.25L 모바일쿠폰 1매(매주 500명) 
3등:스타벅스 카페아메리카노 Tall 모바일쿠폰 1매(매주 1,000명) 
4등:포인트리 100P(전원) 
★EVENT 2★ 
주식쿠폰(KB금융[105560] 용) 5천원권(30,000명 추첨) 

■경품지급 
이벤트 페이지 참고 

▶챗봇과 상담하기 
[URL] 

※상품(서비스) 가입 전 상품(서비스)설명서 및 약관 필독 
**은행이 상품 계약체결을 권유하는 경우 및 일반금융소비자가 설명을 요청하는 경우에도 중요한 사항을 이해할 수 있도록 설명받을 권리가 있음 
**은행의 사정으로 변경 또는 중단될 수 있음 
**은행 고객센터(1588-9999)로 문의 

준법감시인 심의필 제2023-2547-8호(2023.7.4) | 유효기간 2023.7.4~2023.8.18까지 
무료수신거부 XXX-XXX-XXXX 

☎15889999/무료수신거부0808535882","[마케팅 메시지 개요]
- 목적: [Company] 멤버십 Grand Open 이벤트를 통한 고객 유치 및 서비스 등록 유도
- 기간: 2023년 7월 10일(월)부터 7월 30일(일)까지
- 이벤트 내용: 
  - EVENT 1: [Company] 서비스 등록 후 매주 화요일에 럭키룰렛 돌리기
  - EVENT 2: [Company] 서비스에서 등급 확인 후 이벤트 페이지에서 본인 등급 선택
- 상품 설명:
  - EVENT 1 경품: 워커힐 그랜드 클럽스위트 숙박권, 골드바 10g, 신라호텔 더파크뷰 1인식사권, BBQ 황금올리브치킨+ 콜라 1.25L 모바일쿠폰, 스타벅스 카페아메리카노 Tall 모바일쿠폰, 포인트리 100P
  - EVENT 2 경품: 주식쿠폰(KB금융[105560] 용) 5천원권
- 서비스 설명: [Company] 서비스 등록 및 등급 확인을 통해 이벤트에 참여할 수 있음
- 기타 안내:
  - 이벤트 응모 및 [Company] 서비스 등록은 해당 URL을 통해 가능
  - 경품 지급 방법은 이벤트 페이지에서 확인 가능
  - 상품(서비스) 가입 전 상품(서비스) 설명서 및 약관 필독 권장
  - [Company] 고객센터(1588-9999)로 문의 가능
  - 준법감시인 심의필 제2023-2547-8호(2023.7.4) | 유효기간 2023.7.4~2023.8.18까지
  - 무료수신거부 가능 (XXX-XXX-XXXX)
  - 고객센터 번호: 1588-9999, 무료수신거부 번호: 0808535882"
3,"**카드대출 이지론 금리 할인!
[Web발신]
**카드] 간편한 신청, 중도상환수수료 없는 이지론 금리할인!!   

■ ***님께 드리는 혜택: 
 - 가능   금액 : 440만원 
 - 할인전금리 : 연 15.60%
 - 할인후금리 : 연 15.10%
 - 적용   기간 : 2023.8.2(수) ~ 9.4(월) 
  
■ 신청방법 
1. KB PAY 앱 : [URL]
**은행 자동화기기
3. 금융서비스센터 ☎1588-2788 / 고객센터 ☎1588-1688 
4. 신청가능시간 01:00 ~ 23:00

■ KB국민 이지대환대출 안내
타사 대출 이용중이신가요? 기존 대출 확인하고 유리한 조건으로 갈아타세요!
-KB PAY 앱 : [URL]
-가능금액 : 최고 1억원
-적용금리 : 5.9 % ~ 19.9%(개인신용평점 등에 따라 차등 적용)
- 대출기간 : 3 ~ 54개월

■ 꼭 알아두세요 
- 대출가능여부 및 대출가능금액은 2023년 7월 31일 기준이며 신청 당시 개인신용평점과 회사정책, 차주별 DSR기준에 따라 변동될 수 있음
- 대출취급이 부적정한 경우(개인신용평점낮음, 연체사유 발생 등) 대출이 제한 될 수 있음
- 취급수수료 및 중도상환수수료 없음
- 신청 전 상품설명서와 약관을 반드시 확인 필수
- 이지론 금리: 연 3.9%~19.9% (개인신용평점 등에 따라 차등 적용)
- 연체이자율: ""정상이자율+연체가산이자율(3%p)""로 법정 최고금리(연20%) 이내에서 적용
- 이자 납입일에 이자를 납입하여야 함
- 대출상환방법: 원(리)금균등분할 등
※상환능력에 비해 대출금이 과도할 경우, 귀하의 개인신용평점이 하락할 수 있음
※개인신용평점 하락 시 금융거래와 관련된 불이익이 발생할 수 있음
※일정기간 원리금을 연체할 경우, 모든 원리금을 변제할 의무가 발생할 수 있음
- 금융소비자는 해당 상품 또는 서비스에 대하여 설명을 받을 권리가 있으며, 그 설명을 듣고 내용을 충분히 이해한 후 거래하시기 바랍니다.

**카드 고객센터 (☎1588-1688) 

**카드의 영업정책에 따라 변경 또는 중단 될 수 있습니다.
**카드 광고성 정보 수신 ***고객님께 발송되었습니다.
(동의 여부는 전 영업일자 기준으로 발송 시점과 다를 수 있으니 양해를 부탁드립니다)
※여신금융협회 심의필 제 2023-L1f-05106호
    (2023.05.16 ~ 2024.05.15)
※ 무료수신거부 ☎XXX-XXXX-XXXX","[마케팅 메시지 개요]

- 목적: 카드대출 이지론 금리 할인을 통해 고객들에게 혜택을 제공하고, KB국민 이지대환대출 상품을 안내하여 대출 이용을 유도하는 것이 목적입니다.

- 기간: 2023년 8월 2일(수)부터 9월 4일(월)까지의 기간 동안 해당 이벤트가 진행됩니다.

- 이벤트 내용: 이벤트 기간 동안 카드대출 이지론의 금리가 할인됩니다. 할인 전 금리는 연 15.60%이며, 할인 후 금리는 연 15.10%입니다. 이벤트 기간 동안 이지론 대출을 신청하면 해당 금리로 대출을 이용할 수 있습니다.

- 상품 설명: 이지론 대출은 간편한 신청과 중도상환수수료 없는 특징을 가지고 있습니다. 이벤트 기간 동안 신청한 이지론 대출은 연 15.10%의 할인된 금리로 이용할 수 있으며, 최대 440만원까지 대출 가능합니다.

- 서비스 설명: KB PAY 앱을 통해 신청할 수 있으며, 또는 KB은행 자동화기기, 금융서비스센터, 고객센터를 통해 신청할 수 있습니다. 신청 가능 시간은 01:00 ~ 23:00입니다. 또한, KB국민 이지대환대출 상품도 안내되며, 최고 1억원까지 대출 가능하며, 적용 금리는 5.9% ~ 19.9%입니다. 대출 기간은 3개월부터 54개월까지 선택할 수 있습니다.

- 기타 안내: 대출 가능 여부와 대출 가능 금액은 개인 신용평점과 회사 정책, 차주별 DSR 기준에 따라 변동될 수 있습니다. 대출 취급이 부적정한 경우 대출이 제한될 수 있으며, 취급 수수료와 중도상환 수수료는 없습니다. 대출 상환 방법은"
4,"**카드, 이용한도 상향 가능 안내]
[Web발신]
**카드] 이용한도 상향 가능 안내

안녕하세요.

**카드를 이용해주시는 ***님께 깊은 감사의 말씀을 드립니다.
**카드 이용을 위해, ***님의 이용한도가 다음과 같이 상향 가능함을 안내하여 드립니다.

■ 상향가능 한도금액
  총 한도 : 300만원 → 500만원
**카드대출(현금서비스) 한도 : 120만원 → 200만원

■ 한도상향 방법
  아래 링크 또는 전용 ARS를 통해 한도상향을 진행할 수 있습니다.
  ① 바로가기 : [URL]
  ② [Company]pLay : [URL]
  ③ 챗봇에서 한도상향 1:1상담하기 : [URL]
  ④ 전용 ARS : ☎15667227

※ 본 안내는 여신전문금융업 감독규정 제24조의5의 3항에 의거하여 적법하게 발송되었습니다.
**카드 사정에 의해 안내드린 이용한도로 상향되지 않을 수 있습니다. 
※ 한도 상향 후 ***님의 신용도나 월 가처분소득 변경 등의 사유 발생시 이용한도가 다시 조정될 수 있습니다.
※ 기타 문의사항은 고객센터(☎15447000)로 문의바랍니다.","[개요]
- 목적: **카드 이용 고객에게 이용한도 상향 가능 안내
- 기간: 상시
- 이벤트 내용: **카드 이용한도 상향 가능
- 상품 설명: **카드 이용한도 상향으로 총 한도 300만원에서 500만원으로, 카드대출(현금서비스) 한도 120만원에서 200만원으로 상향 가능
- 서비스 설명: 링크, [Company]pLay, 챗봇, 전용 ARS를 통해 한도상향 진행 가능
- 유의사항: **카드 사정에 따라 이용한도 상향이 되지 않을 수 있으며, 신용도나 가처분소득 변경 등의 사유 발생시 이용한도가 다시 조정될 수 있음"
5,"**증권] 비대면계좌 수수료 혜택 지금 신청 하세요~
[Web발신]
**증권] 비대면계좌 수수료 혜택 신청 안내

******님! 반갑습니다.

**증권 비대면계좌를 개설하여 주셔서 다시 한번 감사의 말씀을 드립니다.
★***님께서는 평생수수료 혜택 대상고객이시며, 지금 신청하시면 평생 온라인 국내주식 위탁수수료 혜택을 받으실 수 있습니다.★

▣ 평생수수료 혜택 대상 계좌번호(개설일) : 367-8XX-3XX-01 (2023-7-24)
▣ 평생수수료 혜택 신청 가능 기간 : ~2023-10-23

▶평생수수료 혜택 신청하기
(M-able 앱) [URL]
(M-able mini 앱) [URL]

※ 수수료 혜택 미신청 시 혜택 적용 불가하며, 신청 완료 이후 주문 접수분부터 적용
※ 수수료 혜택은 주식(코스피,코스닥,코넥스) 기준 0.0044792% 부과
※ HTS(H-able,ACE), 홈페이지, MTS(M-able, M-able mini) 거래 시 혜택 적용
**증권플러스 등 제휴어플 제외) 
※ 수수료 혜택 적용 계좌 중 아래의 경우 해당일로부터 혜택 적용 불가
   - 협의수수료 등록, 주거래지점 변경, 관리자 등록, 스탁론 약정 등
     (스탁론 약정 계좌는 수수료 혜택 신청은 가능하나 실제 혜택 적용은 불가하며, 스탁론 해지 시 혜택 적용) 
**증권 해지수수료 0.2% 부과됩니다. 
※ 본 안내는 전일자 기준 수수료혜택 미신청 고객 대상으로 발송, 신청완료 고객도 문자 발송이 될 수 있음

**증권은 ***고객님과 함께 합니다. 감사합니다.
**증권 고객센터 ☎ 1588-6611

**증권 준법감시인 심사필 제2023-0956호(2023.04.14~2024.04.13)
**은행연계 저가수수료계좌는 국내주식 기준 HTS,홈페이지 0.015%, 모바일 0.12%일률적용되며, 자세한 사항은 홈페이지 참조 *비대면계좌는 신용거래 이자율 더 높게 적용됨 유의(비대면계좌 최대 연9.1%~최소 연5.5%, 일반계좌 최대 연9.1%~최소 연4.9%) *당사 사정으로 이벤트 일정변경/중단가능(단,기조건 충족/당첨고객 제외)

무료수신거부 XXX-XXX-XXXX","[마케팅 메시지 개요]
- 목적: **증권 비대면계좌 수수료 혜택 신청 안내
- 기간: 신청 가능 기간은 현재부터 2023년 10월 23일까지
- 이벤트 내용: 평생수수료 혜택 대상 고객으로서, 온라인 국내주식 위탁수수료 혜택을 받을 수 있는 기회 제공
- 상품 설명: 평생수수료 혜택 대상 계좌번호와 개설일 안내, 수수료 혜택 신청 가능한 앱 안내
- 서비스 설명: 수수료 혜택 미신청 시 혜택 적용 불가, 수수료 혜택은 주식(코스피, 코스닥, 코넥스) 기준 0.0044792% 부과, HTS(H-able, ACE), 홈페이지, MTS(M-able, M-able mini) 거래 시 혜택 적용, 수수료 혜택 적용 계좌 중 일부 제외 사항 안내, 해지수수료 0.2% 부과, 고객센터 연락처 안내
- 기타: 준법감시인 심사필 제2023-0956호 안내, 은행연계 저가수수료계좌 설명, 비대면계좌와 일반계좌의 이자율 차이 안내, 이벤트 일정 변경/중단 가능성 안내, 무료수신거부 안내"
6,"(광고) 최대2만원 쿠폰 제공!
[Web발신]
**카드]
[Company] X [Company]
첫 자산 연동하면 [Company]포인트 최대 2만원!

■ 내용 
자산 연동 후 프로모션코드 '내자산연동' 입력하면 [Company]포인트 5천원 즉시 제공
쿠폰함의 '혜택2' 쿠폰교환코드를 이벤트 페이지에 등록하면, [Company]포인트 1만 5천원, 1만원, 5천원, 1천원 中 1개 즉시 추첨 제공

■ 기간: 2023.7.10(월)~7.19(수)

■ 대상: 본 메시지 수신 [Company] 회원

■ 이벤트 바로가기
[URL]

■ 유의사항 
- 자세한 내용은 반드시 이벤트 본문 및 '꼭 확인하세요' 참조

**카드 광고성 정보 수신 ***고객님께 발송되었습니다. (동의 여부는 전 영업일자 기준)

■ 문의: ☎1644-9311

**카드의 영업정책 및 제휴업체의 사정으로 변경 또는 중단될 수 있습니다.
※ 준법감시인 심의필 230407-01179-LMS(2023.04.07)
※ 무료수신거부 ☎XXX-XXXX-XXXX","[개요]
- 목적: [Company] 카드의 자산 연동을 유도하고, 고객들에게 포인트 혜택을 제공하여 이용 동기를 부여하는 것이 목적입니다.
- 기간: 2023년 7월 10일(월)부터 7월 19일(수)까지 진행됩니다.
- 이벤트 내용: 자산 연동 후 프로모션 코드 '내자산연동'을 입력하면 5천원의 [Company] 포인트를 즉시 제공합니다. 또한, 쿠폰함의 '혜택2' 쿠폰 교환 코드를 이벤트 페이지에 등록하면 1만 5천원, 1만원, 5천원, 1천원 중 1개의 [Company] 포인트를 즉시 추첨하여 제공합니다.
- 상품 설명: [Company] 카드의 자산 연동을 하면 최대 2만원의 [Company] 포인트를 받을 수 있습니다.
- 서비스 설명: [Company] 카드를 이용하여 자산을 연동하면 포인트 혜택을 받을 수 있으며, 쿠폰 교환을 통해 추가적인 포인트를 추첨을 통해 받을 수 있습니다. 이벤트 페이지에서 자세한 내용을 확인할 수 있습니다."
7,"**은행 [깜짝 이벤트] 안내
[Web발신]
(광고)***님 안녕하세요.
**은행, 
**은행이에요.

봄인가.. 여름인가.. 날씨도 애매하고..
뭔가.. 축 처지는 듯한 느낌..

지치고 힘들 땐 내게 기대~♪

모바일뱅킹 로그인만 하셔도
시~원한 아이스크림 드릴게요!

▶ 이벤트 기간 
: 2022.05.27(금) ~ 2022.05.31(화)
▶ 이벤트 참여방법 
: 모바일뱅킹 로그인 시, 자동 참여
▶ 이벤트 참여 바로가기 
: [URL]

▶ 경품 
: 베스킨 라빈스 쿼터 아이스크림 
  모바일 쿠폰 (추첨 400명)

▶ 경품 지급(예정)일 
: 2022.06.07(화) 
  
* 유의사항
**은행으로부터 이 문자를 직접 수[Company] 고객만 해당됩니다.
**은행 모바일뱅킹 로그인 시, 이벤트에 자동 참여 됩니다.
**은행 사정에 따라 공지없이 변경 또는 중단될 수 있습니다.
이벤트 참여 고객 중 400명을 추첨하여 경품을 제공합니다.
이벤트 당첨에 대한 안내는 없으며, 당첨 고객에 한하여 
**은행에 등록된 휴대폰 번호로 모바일 쿠폰이 발송될 예정입니다.
**은행 고객센터 (1588-8585 혹은 1600-8585)로 문의바랍니다.

준법감시인 심의필. 
심의번호 : 2022-G-1194
심의일자 : 2022-05-17 
유효기일 : 2022-05-31
* 무료수신거부 XXX-XXXX-XXXX","[개요]
- 목적: **은행의 모바일뱅킹 이용을 촉진하고 고객들에게 감사의 마음을 전하기 위한 이벤트 안내
- 기간: 2022년 5월 27일(금)부터 2022년 5월 31일(화)까지
- 이벤트 내용: 모바일뱅킹 로그인 시 자동 참여하여 베스킨 라빈스 쿼터 아이스크림 모바일 쿠폰을 추첨을 통해 400명에게 제공하는 이벤트
- 상품 설명: 베스킨 라빈스 쿼터 아이스크림 모바일 쿠폰
- 서비스 설명: **은행의 모바일뱅킹 서비스를 통해 고객들은 언제 어디서나 편리하게 은행 업무를 처리할 수 있음을 안내"
8,"**증권] 엄청난 혜택! 마감 임박!
[Web발신]
**증권]

무더위 피크가 지나가네요
여름 경품 이벤트도 끝나갑니다

#제습기 #선풍기 #호캉스 #상품권 
손쉽게 경품받는 핵이득 찬스!

[Company]금융통합앱 [모니모] 
첫 가입이면 누구나 드리니
가족, 친구와 공유하고
함께 당첨 기운 나눠요♡

▼곧 마감! 서두르세요▼
① 아래 링크로 모니모 가입하고
[URL]
② 이벤트 신청폼 제출하면 끝!
[URL]

▷기간: 23.7.7~23.8.8
▷대상: 기간 내 링크를 통한
　모니모 최초 신규 가입 및
　이벤트 신청한 고객 전원
▷경품:
① 특급호텔 숙박권 50만원권
② 신세계백화점 상품권 50만원권
③ [Company] 인버터 제습기 18L
④ 다이슨 쿨 선풍기 타워형
⑤ 스타벅스 아메리카노 1잔
(①~④번 경품: 각 3명 추첨,
⑤번 경품: 상위 당첨 고객 제외 전원)

※ 이벤트 자세히 보기
: [URL]

★ 나는 언제쯤 팔자가 필까?
'모니모 운세톡톡'보고
팔자피자! 어깨피자! 웃음꽃피자♥
: [URL]

**증권과 무관하며 모니모에서 주관
※ 투자전 설명 청취 및 상품설명서·약관 필독
※ 예금자보호법상 보호상품 아님
※ 원금손실(0~100%) 발생 가능 및 투자자 귀속

**증권 준법감시인 심사필 제23-B2608호(2023.08.03 ~ 2024.08.02)

무료수신거부 XXX-XXX-XXXX","[개요]
- 마케팅 메시지의 목적: [Company]금융통합앱 [모니모]의 가입 유도 및 이벤트 참여 유도
- 기간: 2023년 7월 7일부터 8월 8일까지
- 이벤트 내용: [모니모]에 최초 가입하고 이벤트 신청한 고객 전원에게 경품 제공
- 상품 설명: 경품으로는 특급호텔 숙박권 50만원권, 신세계백화점 상품권 50만원권, [Company] 인버터 제습기 18L, 다이슨 쿨 선풍기 타워형, 스타벅스 아메리카노 1잔이 제공됨
- 서비스 설명: [모니모]는 [Company]금융통합앱으로, 첫 가입 시 경품을 받을 수 있으며, 가족이나 친구와 함께 당첨 기운을 나눌 수 있는 앱이다. 또한, [모니모 운세톡톡]을 통해 언제 팔자가 필지 알 수 있으며, 다양한 혜택을 제공한다."
9,"**은행안내메시지]
[Web발신]
**은행][상품안내]
천리길도 한걸음부터! 
나도 할 수 있다! 저축왕! 

지금 바로 '[Company] 청년저축왕 적금'을 가입하세요!

[2023.03.14 현재, 만기해지 시,
1년제 : 기본이자율 연 4.35%, 우대이자율 연 1.3% 적용 시 최고이자율 연 5.65%(세전) 
2년제 : 기본이자율 연 4.45%, 우대이자율 연 1.3% 적용 시 최고이자율 연 5.75%(세전) 
3년제 : 기본이자율 연 4.55%, 우대이자율 연 1.3% 적용 시 최고이자율 연 5.85%(세전) ]

▶저축한도: 월 30만원 이하 자유롭게 적립가능
▶우대요건 (최대 연 1.3%)
① 급여클럽 우대 : 이 상품 신규 후 급여클럽 월급봉투를 6개월 이상 받은 경우 연 0.5%
② 목돈마련 축하 우대 : 만기 시 원금 300만원 이상인 경우 연 0.3%
**은행 입출금 통장 첫 신규 대상인 경우 또는 
입출금 통장 중 거래중지 계좌만을 보유한 경우 연 0.3%
④ 친구초대 우대 : 초대코드를 입력 받거나 초대받은 코드를 입력한 경우 연 0.2%
※ 계약기간 만기 전 중도해지 한 계좌에 대해서는 적용하지 않습니다. 

▶ [Company] 청년저축왕 적금 바로가기
[URL]

[유의사항]
※ 지급 제한 사유: 계좌에 압류, 가압류, 질권설정 등이 등록될 경우 원금 및 이자 지급이 제한됩니다. 
※이 금융상품을 가입(계약)하시기 전에 '금융상품 설명서' 및 '약관'을 반드시 읽어보시기 바랍니다. 
※이 금융상품을 가입(계약)하시는 경우 금융소비자보호법 제19조 제1항에 따라 상품에 관한 중요한 사항을 설명 받으실 수 있습니다.
※이 광고는 법령 및 내부통제기준에 따른 관련 절차를 거쳐 제공됩니다. 
**은행에 있는 귀하의 모든 예금보호대상 금융상품의 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원"" 이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다. 
**은행 고객상담센터 1599-8000(평일 오전 9시 ~ 오후 6시 / 주말 및 공휴일 휴무)로 문의 부탁 드립니다.
준법감시인 사전심사필 제2023-11044-2호 (2023.03.14~2023.12.31)
/거부(무료)XXX-XXX-XXXX","[개요]
- 목적: **은행의 청년을 대상으로 한 저축왕 적금 상품을 홍보하기 위한 메시지
- 기간: 2023년 3월 14일부터 2023년 12월 31일까지
- 이벤트 내용: **은행의 청년저축왕 적금 상품을 가입하면 최고 연 5.85%의 우대이자를 받을 수 있으며, 급여클럽 우대, 목돈마련 축하 우대, 입출금 통장 신규 우대, 친구초대 우대 등 다양한 우대 혜택을 제공한다.
- 상품 설명: 청년을 대상으로 한 저축왕 적금 상품으로, 1년, 2년, 3년 단위로 가입할 수 있으며, 기본이자율에 우대이자율을 더해 최고 연 5.85%의 이자를 제공한다. 월 30만원 이하로 자유롭게 적립할 수 있으며, 중도해지 시 우대이자는 적용되지 않는다.
- 서비스 설명: **은행의 청년저축왕 적금 상품은 청년을 대상으로 한 저축왕 적금 상품으로, 다양한 우대 혜택을 제공한다. 급여클럽 우대, 목돈마련 축하 우대, 입출금 통장 신규 우대, 친구초대 우대 등의 조건을 충족하면 최고 연 5.85%의 우대이자를 받을 수 있다. 또한, 월 30만원 이하로 자유롭게 적립할 수 있어 청년들의 저축을 돕는다. 이 상품은 **은행의 고객상담센터를 통해 가입할 수 있다."
