hyphothesis,label,premise
0,은행에서는 매주 최대 1천만원을 추첨하는 이벤트를 진행하고 있습니다.,entailment,은행에서는 단 3일 동안 최대 1천만원을 추첨하는 럭키박스 이벤트를 진행하고 있습니다.
1,은행에서는 단 하루 동안 최대 1천만원을 추첨하는 럭키박스 이벤트를 진행하고 있습니다.,neutral,은행에서는 단 3일 동안 최대 1천만원을 추첨하는 럭키박스 이벤트를 진행하고 있습니다.
2,은행에서는 단 3일 동안 최대 100만원을 추첨하는 럭키박스 이벤트를 진행하고 있습니다.,contradiction,은행에서는 단 3일 동안 최대 1천만원을 추첨하는 럭키박스 이벤트를 진행하고 있습니다.
3,"이 이벤트는 은행의 VIP 고객에게만 제공되며, 참여하신 분들 중 한 분을 추첨하여 1천만원을 드립니다.",entailment,"이 이벤트는 은행의 고객에게만 제공되며, 참여하신 분들 중 한 분을 추첨하여 1천만원을 드립니다."
4,"이 이벤트는 은행의 직원에게만 제공되며, 참여하신 분들 중 한 분을 추첨하여 1천만원을 드립니다.",neutral,"이 이벤트는 은행의 고객에게만 제공되며, 참여하신 분들 중 한 분을 추첨하여 1천만원을 드립니다."
5,"이 이벤트는 은행의 고객에게만 제공되며, 참여하신 분들 중 두 분을 추첨하여 1천만원을 드립니다.",contradiction,"이 이벤트는 은행의 고객에게만 제공되며, 참여하신 분들 중 한 분을 추첨하여 1천만원을 드립니다."
6,"이벤트 기간은 9월 28일부터 10월 1일까지이며, 당첨자 발표 및 경품 지급은 10월 8일에 이루어집니다.",entailment,"이벤트 기간은 9월 28일부터 9월 30일까지이며, 당첨자 발표 및 경품 지급은 10월 8일에 이루어집니다."
7,"이벤트 기간은 10월 1일부터 10월 3일까지이며, 당첨자 발표 및 경품 지급은 10월 8일에 이루어집니다.",neutral,"이벤트 기간은 9월 28일부터 9월 30일까지이며, 당첨자 발표 및 경품 지급은 10월 8일에 이루어집니다."
8,"이벤트 기간은 9월 28일부터 9월 30일까지이며, 당첨자 발표 및 경품 지급은 10월 9일에 이루어집니다.",contradiction,"이벤트 기간은 9월 28일부터 9월 30일까지이며, 당첨자 발표 및 경품 지급은 10월 8일에 이루어집니다."
9,"경품은 은행의 예금 계좌로 지급되며, 발표일로부터 10영업일 이내에 지급됩니다.",entailment,"경품은 은행의 입출금이 자유로운 예금 계좌로 지급되며, 발표일로부터 10영업일 이내에 지급됩니다."
10,"경품은 은행의 예금 계좌로 지급되며, 발표일로부터 5영업일 이내에 지급됩니다.",neutral,"경품은 은행의 입출금이 자유로운 예금 계좌로 지급되며, 발표일로부터 10영업일 이내에 지급됩니다."
11,"경품은 은행의 예금 계좌로 지급되지 않으며, 발표일로부터 10영업일 이내에 지급됩니다.",contradiction,"경품은 은행의 입출금이 자유로운 예금 계좌로 지급되며, 발표일로부터 10영업일 이내에 지급됩니다."
12,이벤트에 참여하려면 [Service]에서 럭키박스를 열어 상품을 확인한 후 응모하셔야 합니다.,entailment,이벤트에 참여하시려면 [Service]에서 럭키박스를 열고 상품을 확인한 후 응모하셔야 합니다.
13,이벤트에 참여하려면 [Service]에서 럭키박스를 열고 상품을 확인하지 않아도 됩니다.,neutral,이벤트에 참여하시려면 [Service]에서 럭키박스를 열고 상품을 확인한 후 응모하셔야 합니다.
14,이벤트에 참여하려면 [Service]에서 럭키박스를 열고 상품을 확인한 후 응모하지 않으셔도 됩니다.,contradiction,이벤트에 참여하시려면 [Service]에서 럭키박스를 열고 상품을 확인한 후 응모하셔야 합니다.
15,고객센터에 문의하시면 자세한 내용을 알 수 있습니다.,entailment,자세한 내용은 고객센터(☎XXXX-XXXX)로 문의하시기 바랍니다.
16,고객센터에 문의하시면 상품을 구매할 수 있습니다.,neutral,자세한 내용은 고객센터(☎XXXX-XXXX)로 문의하시기 바랍니다.
17,고객센터에 문의하지 않으셔도 자세한 내용을 알 수 있습니다.,contradiction,자세한 내용은 고객센터(☎XXXX-XXXX)로 문의하시기 바랍니다.
18,은행에서는 [Company]의 '청년내일계좌'에 대한 안내를 해드리겠습니다.,entailment,은행에서는 [Company]의 '청년내일계좌'에 관심을 가져 주신 ***님께 감사의 선물로 ‘신라면 큰사발’을 준비하였습니다.
19,은행에서는 [Company]의 '청년내일계좌'에 관심을 가져 주신 ***님께 감사의 선물로 '신라면 작은사발'을 준비하였습니다.,neutral,은행에서는 [Company]의 '청년내일계좌'에 관심을 가져 주신 ***님께 감사의 선물로 ‘신라면 큰사발’을 준비하였습니다.
20,은행에서는 [Company]의 '청년내일계좌'에 관심을 가져 주신 ***님께 감사의 선물로 '신라면 큰사발'을 준비하지 않았습니다.,contradiction,은행에서는 [Company]의 '청년내일계좌'에 관심을 가져 주신 ***님께 감사의 선물로 ‘신라면 큰사발’을 준비하였습니다.
21,오늘 하루동안 [Company]에 로그인 하시면 8/16(수) 쿠폰을 받을 수 있습니다.,entailment,"오늘 단 하루, [Company]에 로그인 하시면 8/16(수) 쿠폰을 적립해 드립니다."
22,"오늘 단 하루, [Company]에 로그인 하시면 8/17(목) 쿠폰을 적립해 드립니다.",neutral,"오늘 단 하루, [Company]에 로그인 하시면 8/16(수) 쿠폰을 적립해 드립니다."
23,"오늘 단 하루, [Company]에 로그인 하시면 8/16(수) 쿠폰을 적립받을 수 없습니다.",contradiction,"오늘 단 하루, [Company]에 로그인 하시면 8/16(수) 쿠폰을 적립해 드립니다."
24,"참여 방법은 오늘 [Company] 로그인하면 되고, 참여 기간은 23.07.31(월)로 한 달입니다.",entailment,"참여 방법은 오늘 [Company] 로그인만 하면 되며, 참여 기간은 23.07.31(월)로 단 하루입니다."
25,"참여 방법은 오늘 [Company] 로그인하면 되고, 참여 기간은 23.07.31(월)로 한 주입니다.",neutral,"참여 방법은 오늘 [Company] 로그인만 하면 되며, 참여 기간은 23.07.31(월)로 단 하루입니다."
26,"참여 방법은 내일 [Company] 로그인하면 되고, 참여 기간은 23.07.31(월)로 단 하루입니다.",contradiction,"참여 방법은 오늘 [Company] 로그인만 하면 되며, 참여 기간은 23.07.31(월)로 단 하루입니다."
27,농심)신라면 큰사발 교환권은 2023년 8월 16일까지 사용 가능합니다.,entailment,"증정 경품은 [CU] 농심)신라면 큰사발 교환권 1매이며, 쿠폰 적립일은 2023.08.16(수)입니다."
28,CU에서는 다양한 상품을 증정하고 있습니다.,neutral,"증정 경품은 [CU] 농심)신라면 큰사발 교환권 1매이며, 쿠폰 적립일은 2023.08.16(수)입니다."
29,농심)신라면 큰사발 교환권은 2023년 8월 17일부터 사용 가능합니다.,contradiction,"증정 경품은 [CU] 농심)신라면 큰사발 교환권 1매이며, 쿠폰 적립일은 2023.08.16(수)입니다."
30,"쿠폰은 [Company] 앱 푸시로 발송되며, 쿠폰 확인은 [Company] 앱의 My하나>쿠폰함에서 가능합니다.",entailment,"쿠폰은 [Company] 앱 푸시로 적립 알림이 전송되며, 쿠폰 확인은 [Company] 앱의 My하나>쿠폰함에서 가능합니다."
